Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.6487,0.98815
Precision,0.604095204760238,0.977782127826172
Recall,0.86295,0.999
F1,0.7106856084002471,0.9882771924617896
AUC,0.62861657875,0.999787225
Specificity,0.43445,0.9773
Sensitivity,0.86295,0.999
MCC,0.3291491398141604,0.9765299461662
Kappa,0.2974,0.9763
Training_Time,1121.4888923168182,1354.1307928562164
Inference_Time,28.02801775932312,25.063428163528442
FPS,1427.1433800092614,797.9754353438133
