Metric,140K Train (Tested on 200K),200K Train (Tested on 140K)
Accuracy,0.66475,0.9939
Precision,0.614346196557468,0.9934065934065934
Recall,0.88515,0.9944
F1,0.7252949852507374,0.9939030484757622
AUC,0.63756813,0.9997337
Specificity,0.44435,0.9934
Sensitivity,0.88515,0.9944
MCC,0.3670878308481717,0.9878004939003704
Kappa,0.3295,0.9878
Training_Time,1108.4125554561615,10062.425690889359
Inference_Time,27.88117551803589,21.13466787338257
FPS,1434.6597392970264,946.3124814555713
